IDpaper,Title_paper,type_paper,Abstract_paper,IDauthor,Author,IDconference,type_conference,Name,Edition,City,Year_edition,Chairs,IDedition,IDjournal,title,volume,Year_volume,editor,IDreviewer,Reviewer,IDreview,Decision,Review,IDkeyword,Keyword,IDtopic,Topic,Name_chair,expert_id_chair,name_editor
paper_5,Integrating Object-Oriented Applications and Middleware with Relational Databases.,full paper,Those robots must collaborate to reach a sin- gle vertex that is unknown beforehand,author_8970884,Michael Stonebraker,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_10,edition_E_2016,,,,,,reviewer_8970886,Kulkarni Huy,review_25,accepted,Dolore eius labore porro modi sed porro neque.,keyword_116,Photonics and Electrooptics,topic_3,Economy,Mario Corin,expert_8,
paper_5,Integrating Object-Oriented Applications and Middleware with Relational Databases.,full paper,Those robots must collaborate to reach a sin- gle vertex that is unknown beforehand,author_8970884,Michael Stonebraker,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_9,edition_E_2016,,,,,,reviewer_8970905,Udo Pletat,review_6,accepted,Ymodi sed porro neque.,keyword_106,Computing and Processing,topic_5,Technology,Carlos Mora,expert_7,
paper_5,Integrating Object-Oriented Applications and Middleware with Relational Databases.,full paper,Those robots must collaborate to reach a sin- gle vertex that is unknown beforehand,author_8970884,Michael Stonebraker,conference_6859291.0,workshops,Atlas Convention,Optimizing Multi-hop Queries in ZigBee Based Multi-sink Sensor Networks.,Tianjin,2016.0,chairs_10,edition_E_2016,,,,,,reviewer_8970905,Udo Pletat,review_6,accepted,Ymodi sed porro neque.,keyword_116,Photonics and Electrooptics,topic_3,Economy,Mario Corin,expert_8,
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_1,reviewer_8970896,Jim Melton,review_16,accepted,Ut porro amet modi non dolor dolorem.,keyword_107,Communication,topic_3,Economy,,expert_9,Brigitte Bartsc
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_2,reviewer_8970896,Jim Melton,review_16,accepted,Ut porro amet modi non dolor dolorem.,keyword_117,Dielectrics and Plasmas,topic_2,Physics,,expert_10,Gisela Scha
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_1,reviewer_8970800,Mike Jou,review_26,accepted,Quaerat dolorem sit sed voluptatem amet.,keyword_107,Communication,topic_3,Economy,,expert_9,Brigitte Bartsc
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_2,reviewer_8970800,Mike Jou,review_26,accepted,Quaerat dolorem sit sed voluptatem amet.,keyword_117,Dielectrics and Plasmas,topic_2,Physics,,expert_10,Gisela Scha
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_1,reviewer_8970906,Hans Uszkoreit,review_16,accepted,Ut porro amet modi non dolor dolorem.,keyword_107,Communication,topic_3,Economy,,expert_9,Brigitte Bartsc
paper_6,Towards a Transaction Management System for DOM.,journal paper,The Fermilab Linac delivers a variable intensity,author_8970885,Mark F. Hornick,,,,,,,,,journal_12003631.0,University of California at Berkeley,210.0,1999.0,editor_2,reviewer_8970906,Hans Uszkoreit,review_16,accepted,Ut porro amet modi non dolor dolorem.,keyword_117,Dielectrics and Plasmas,topic_2,Physics,,expert_10,Gisela Scha
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_3,reviewer_8970897,Jonathan Bauer,review_17,accepted,Sit labore est consectetur non numquam.,keyword_108,General Topics for Engineers,topic_5,Technology,,expert_11,Phil She
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_4,reviewer_8970897,Jonathan Bauer,review_17,accepted,Sit labore est consectetur non numquam.,keyword_118,Computing and Processing,topic_0,Mathematics,,expert_12,Daniel Gru
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_3,reviewer_8970801,Bar yue,review_5,accepted,Magnam quaerat porro aliquam est quisquam amet ipsum quisquam modi.,keyword_108,General Topics for Engineers,topic_5,Technology,,expert_11,Phil She
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_4,reviewer_8970801,Bar yue,review_5,accepted,Magnam quaerat porro aliquam est quisquam amet ipsum quisquam modi.,keyword_118,Computing and Processing,topic_0,Mathematics,,expert_12,Daniel Gru
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_3,reviewer_8970907,Ulrike Rackow,review_27,accepted,Sit labore est consectetur non numquam.,keyword_108,General Topics for Engineers,topic_5,Technology,,expert_11,Phil She
paper_7,A RISC Object Model for Object System Interoperation: Concepts and Applications.,journal paper,Let R be the quotient of a polynomial ring over a field k by an ideal generated by monomials,author_8970886,Joe D. Morrison,,,,,,,,,journal_12003632.0,University of California at Berkeley,211.0,2000.0,editor_4,reviewer_8970907,Ulrike Rackow,review_27,accepted,Sit labore est consectetur non numquam.,keyword_118,Computing and Processing,topic_0,Mathematics,,expert_12,Daniel Gru
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_5,reviewer_8970898,Mike Kelley,review_18,accepted,Amet labore magnam quiquia dolorem amet eius ut.,keyword_109,Power,topic_2,Physics,,expert_13,Mike Ham
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_6,reviewer_8970898,Mike Kelley,review_18,accepted,Amet labore magnam quiquia dolorem amet eius ut.,keyword_119,Energy and Industry Applications,topic_0,Mathematics,,expert_14,Christoph Beie
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_5,reviewer_8970802,Mila kun,review_28,accepted,Etincidunt sed consectetur modi aliquam velit amet aliquam.,keyword_109,Power,topic_2,Physics,,expert_13,Mike Ham
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_6,reviewer_8970802,Mila kun,review_28,accepted,Etincidunt sed consectetur modi aliquam velit amet aliquam.,keyword_119,Energy and Industry Applications,topic_0,Mathematics,,expert_14,Christoph Beie
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_5,reviewer_8970908,Ido Dagan,review_4,accepted,Magnam quiquia dolorem amet eius ut.,keyword_109,Power,topic_2,Physics,,expert_13,Mike Ham
paper_8,MetaObject Protocol Concepts for a RISC Object Model.,journal paper,Discontinuity preserving smoothing is a fundamentally important procedure that is useful in a wide variety of image processing contexts,author_8970887,Farshad Nayeri,,,,,,,,,journal_12003633.0,Digital System Research Center Report,133.0,2012.0,editor_6,reviewer_8970908,Ido Dagan,review_4,accepted,Magnam quiquia dolorem amet eius ut.,keyword_119,Energy and Industry Applications,topic_0,Mathematics,,expert_14,Christoph Beie
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_7,reviewer_8970899,Phil Shaw,review_19,accepted,Magnam ipsum eius quaerat quaerat dolorem ipsum.,keyword_110,Aerospace,topic_2,Physics,,expert_15,David Bee
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_8,reviewer_8970899,Phil Shaw,review_19,accepted,Magnam ipsum eius quaerat quaerat dolorem ipsum.,keyword_120,General Topics for Engineers,topic_4,Data Science,,expert_16,Toni Bollinger
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_7,reviewer_8970804,Shnna Rhu,review_29,accepted,Quisquam consectetur porro quisquam ipsum.,keyword_110,Aerospace,topic_2,Physics,,expert_15,David Bee
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_8,reviewer_8970804,Shnna Rhu,review_29,accepted,Quisquam consectetur porro quisquam ipsum.,keyword_120,General Topics for Engineers,topic_4,Data Science,,expert_16,Toni Bollinger
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_7,reviewer_8970909,Ulrike Schwall,review_3,accepted,Quaerat dolorem ipsum.,keyword_110,Aerospace,topic_2,Physics,,expert_15,David Bee
paper_9,Object Data Language Facilities for Multimedia Data Types.,journal paper,We investigate the properties of the Hybrid Monte-Carlo algorithm (HMC) in high dimensions. HMC develops a Markov chain reversible w.r.t. a given target distribution Pi by using separable Hamiltonian dynamics with potential -logPi. The additional momentum variables are chosen at random from the Boltzmann distribution and the continuous-time Hamiltonian dynamics are then discretised using the leapfrog scheme. The induced bias is removed via a Metropolis-Hastings accept/reject rule. In the simplified scenario of independent,author_8970888,Alejandro P. Buchmann,,,,,,,,,journal_12003634.0,Compulog Newsletter,89.0,2015.0,editor_8,reviewer_8970909,Ulrike Schwall,review_3,accepted,Quaerat dolorem ipsum.,keyword_120,General Topics for Engineers,topic_4,Data Science,,expert_16,Toni Bollinger
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_9,reviewer_8970900,Rolf Sander,review_20,accepted,Tempora consectetur dolor est tempora ut.,keyword_111,Transportation,topic_3,Economy,,expert_17,Louis Beller
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_10,reviewer_8970900,Rolf Sander,review_20,accepted,Tempora consectetur dolor est tempora ut.,keyword_121,Networking and Broadcast Technologies,topic_0,Mathematics,,expert_18,Cammill Say
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_9,reviewer_8970850,John Currs,review_30,accepted,Quiquia dolorem quaerat dolorem voluptatem sed dolore dolor quaerat modi.,keyword_111,Transportation,topic_3,Economy,,expert_17,Louis Beller
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_10,reviewer_8970850,John Currs,review_30,accepted,Quiquia dolorem quaerat dolorem voluptatem sed dolore dolor quaerat modi.,keyword_121,Networking and Broadcast Technologies,topic_0,Mathematics,,expert_18,Cammill Say
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_9,reviewer_8970910,Brigitte Bartsch-Spörl,review_31,rejected,Quiquia dolorem quaerat.,keyword_111,Transportation,topic_3,Economy,,expert_17,Louis Beller
paper_10,Object Data Model Facilities for Multimedia Data Types.,journal paper,Consider an Erdos-Renyi random graph in which each edge is present independently with probability 1/2,author_8970889,M. Tamer Ozsu,,,,,,,,,journal_12003635.0,University of Harvard,255.0,2000.0,editor_10,reviewer_8970910,Brigitte Bartsch-Spörl,review_31,rejected,Quiquia dolorem quaerat.,keyword_121,Networking and Broadcast Technologies,topic_0,Mathematics,,expert_18,Cammill Say